HTNO,SUBCODE,IM
149Y1A0128,1521101,5
149Y1A0169,1521101,5
149Y1A0182,1521101,2
149Y1A01C8,1521101,0
159Y1A0101,1521101,21
159Y1A0102,1521101,22
159Y1A0103,1521101,14
159Y1A0104,1521101,17
159Y1A0105,1521101,10
159Y1A0106,1521101,18
159Y1A0108,1521101,27
159Y1A0109,1521101,3
159Y1A0110,1521101,23
159Y1A0111,1521101,16
159Y1A0112,1521101,22
159Y1A0113,1521101,14
159Y1A0114,1521101,18
159Y1A0115,1521101,15
159Y1A0116,1521101,23
159Y1A0117,1521101,18
159Y1A0118,1521101,13
159Y1A0119,1521101,12
159Y1A0121,1521101,19
159Y1A0122,1521101,12
159Y1A0123,1521101,21
159Y1A0124,1521101,12
159Y1A0125,1521101,20
159Y1A0126,1521101,28
159Y1A0129,1521101,12
159Y1A0130,1521101,20
159Y1A0131,1521101,15
159Y1A0132,1521101,12
159Y1A0133,1521101,26
159Y1A0134,1521101,3
159Y1A0135,1521101,24
159Y1A0136,1521101,29
159Y1A0137,1521101,24
159Y1A0138,1521101,16
159Y1A0139,1521101,12
159Y1A0140,1521101,15
159Y1A0141,1521101,28
159Y1A0142,1521101,23
159Y1A0143,1521101,22
159Y1A0144,1521101,16
159Y1A0145,1521101,9
159Y1A0146,1521101,14
159Y1A0147,1521101,9
159Y1A0148,1521101,21
159Y1A0149,1521101,2
159Y1A0150,1521101,23
159Y1A0151,1521101,17
159Y1A0152,1521101,19
159Y1A0153,1521101,12
159Y1A0154,1521101,25
159Y1A0155,1521101,27
159Y1A0156,1521101,25
159Y1A0157,1521101,21
159Y1A0159,1521101,29
159Y1A0160,1521101,22
159Y1A0161,1521101,3
159Y1A0162,1521101,6
159Y1A0163,1521101,18
159Y1A0164,1521101,20
159Y1A0165,1521101,11
159Y1A0166,1521101,30
159Y1A0167,1521101,26
159Y1A0168,1521101,23
159Y1A0169,1521101,25
159Y1A0170,1521101,30
159Y1A0171,1521101,13
159Y1A0172,1521101,29
159Y1A0173,1521101,12
159Y1A0174,1521101,27
159Y1A0175,1521101,28
159Y1A0176,1521101,21
159Y1A0177,1521101,12
159Y1A0178,1521101,14
159Y1A0179,1521101,11
159Y1A0180,1521101,28
159Y1A0181,1521101,29
159Y1A0182,1521101,13
159Y1A0183,1521101,29
159Y1A0185,1521101,4
159Y1A0186,1521101,28
159Y1A0187,1521101,20
159Y1A0188,1521101,28
159Y1A0189,1521101,30
159Y1A0190,1521101,24
159Y1A0191,1521101,25
159Y1A0192,1521101,13
159Y1A0193,1521101,29
159Y1A0194,1521101,20
159Y1A0195,1521101,13
159Y1A0196,1521101,27
159Y1A0197,1521101,10
159Y1A0198,1521101,18
159Y1A0199,1521101,20
159Y1A01A0,1521101,29
159Y1A01A1,1521101,29
159Y1A01A2,1521101,24
159Y1A01A3,1521101,30
159Y1A01A4,1521101,2
159Y1A01A5,1521101,30
159Y1A01A6,1521101,21
159Y1A01A7,1521101,29
159Y1A01A8,1521101,16
159Y1A01A9,1521101,20
159Y1A01B0,1521101,27
159Y1A01B1,1521101,4
159Y1A01B2,1521101,30
159Y1A01B3,1521101,16
159Y1A01B4,1521101,30
159Y1A01B5,1521101,19
159Y1A01B6,1521101,30
159Y1A01B7,1521101,16
159Y1A01B8,1521101,28
159Y1A01B9,1521101,15
159Y1A01C0,1521101,28
159Y1A01C1,1521101,30
159Y1A01C2,1521101,30
159Y1A01C3,1521101,30
159Y1A01C4,1521101,25
159Y1A01C5,1521101,11
159Y1A01C6,1521101,22
159Y1A01C7,1521101,28
159Y1A01C8,1521101,14
159Y1A01C9,1521101,28
159Y1A01D0,1521101,15
159Y1A01D1,1521101,27
159Y1A01D2,1521101,23
159Y1A01D3,1521101,27
159Y1A01D4,1521101,26
159Y1A01D5,1521101,19
159Y1A01D6,1521101,20
159Y1A01D7,1521101,29
159Y1A01D8,1521101,29
159Y1A01D9,1521101,23
159Y1A01E1,1521101,30
159Y1A01E2,1521101,19
159Y1A01E3,1521101,13
159Y1A01E4,1521101,29
159Y1A01E5,1521101,19
159Y1A01E6,1521101,20
159Y1A01E7,1521101,14
159Y1A01E8,1521101,23
159Y1A01E9,1521101,24
159Y1A01F0,1521101,27
159Y1A01F1,1521101,29
159Y1A01F2,1521101,25
159Y1A01F3,1521101,29
159Y1A01F4,1521101,1
159Y1A01F5,1521101,30
159Y1A01F6,1521101,20
159Y1A01F7,1521101,26
159Y1A01F8,1521101,27
159Y1A01F9,1521101,27
159Y1A01G0,1521101,21
159Y1A01G1,1521101,25
159Y1A01G2,1521101,24
149Y1A0128,1522102,7
149Y1A0169,1522102,2
149Y1A0182,1522102,3
149Y1A01C8,1522102,13
159Y1A0101,1522102,10
159Y1A0102,1522102,23
159Y1A0103,1522102,17
159Y1A0104,1522102,16
159Y1A0105,1522102,3
159Y1A0106,1522102,15
159Y1A0108,1522102,21
159Y1A0109,1522102,15
159Y1A0110,1522102,18
159Y1A0111,1522102,16
159Y1A0112,1522102,17
159Y1A0113,1522102,15
159Y1A0114,1522102,17
159Y1A0115,1522102,23
159Y1A0116,1522102,24
159Y1A0117,1522102,20
159Y1A0118,1522102,8
159Y1A0119,1522102,15
159Y1A0121,1522102,16
159Y1A0122,1522102,12
159Y1A0123,1522102,20
159Y1A0124,1522102,16
159Y1A0125,1522102,21
159Y1A0126,1522102,22
159Y1A0129,1522102,12
159Y1A0130,1522102,24
159Y1A0131,1522102,23
159Y1A0132,1522102,15
159Y1A0133,1522102,20
159Y1A0134,1522102,3
159Y1A0135,1522102,23
159Y1A0136,1522102,29
159Y1A0137,1522102,19
159Y1A0138,1522102,22
159Y1A0139,1522102,19
159Y1A0140,1522102,15
159Y1A0141,1522102,15
159Y1A0142,1522102,14
159Y1A0143,1522102,20
159Y1A0144,1522102,20
159Y1A0145,1522102,10
159Y1A0146,1522102,19
159Y1A0147,1522102,3
159Y1A0148,1522102,21
159Y1A0149,1522102,12
159Y1A0150,1522102,15
159Y1A0151,1522102,20
159Y1A0152,1522102,20
159Y1A0153,1522102,15
159Y1A0154,1522102,25
