HTNO,SUBCODE,IM
149Y1A0103,1501406,19
149Y1A0169,1501501,9
149Y1A0182,1501501,7
149Y1A01C8,1501501,0
149Y1A01D0,1501501,14
149Y1A01D1,1501501,11
159Y1A0101,1501501,30
159Y1A0102,1501501,23
159Y1A0103,1501501,24
159Y1A0104,1501501,18
159Y1A0105,1501501,16
159Y1A0106,1501501,26
159Y1A0108,1501501,14
159Y1A0109,1501501,15
159Y1A0110,1501501,23
159Y1A0111,1501501,9
159Y1A0112,1501501,22
159Y1A0113,1501501,25
159Y1A0114,1501501,23
159Y1A0115,1501501,28
159Y1A0116,1501501,27
159Y1A0117,1501501,29
159Y1A0118,1501501,20
159Y1A0119,1501501,8
159Y1A0121,1501501,18
159Y1A0122,1501501,10
159Y1A0123,1501501,26
159Y1A0124,1501501,14
159Y1A0125,1501501,26
159Y1A0126,1501501,30
159Y1A0129,1501501,18
159Y1A0130,1501501,27
159Y1A0131,1501501,27
159Y1A0132,1501501,20
159Y1A0133,1501501,29
159Y1A0134,1501501,13
159Y1A0135,1501501,28
159Y1A0136,1501501,30
159Y1A0137,1501501,28
159Y1A0138,1501501,22
159Y1A0139,1501501,25
159Y1A0140,1501501,21
159Y1A0141,1501501,20
159Y1A0142,1501501,25
159Y1A0143,1501501,23
159Y1A0144,1501501,23
159Y1A0145,1501501,15
159Y1A0146,1501501,22
159Y1A0147,1501501,20
159Y1A0148,1501501,26
159Y1A0149,1501501,0
159Y1A0150,1501501,23
159Y1A0151,1501501,27
159Y1A0152,1501501,28
159Y1A0153,1501501,16
159Y1A0154,1501501,25
159Y1A0155,1501501,29
159Y1A0156,1501501,30
159Y1A0157,1501501,30
159Y1A0159,1501501,27
159Y1A0160,1501501,27
159Y1A0161,1501501,24
159Y1A0162,1501501,19
159Y1A0163,1501501,18
159Y1A0164,1501501,30
159Y1A0165,1501501,20
159Y1A0166,1501501,27
159Y1A0167,1501501,25
159Y1A0168,1501501,28
159Y1A0169,1501501,26
159Y1A0170,1501501,30
159Y1A0171,1501501,19
159Y1A0172,1501501,26
159Y1A0173,1501501,17
159Y1A0174,1501501,23
159Y1A0175,1501501,24
159Y1A0176,1501501,22
159Y1A0177,1501501,21
159Y1A0178,1501501,21
159Y1A0179,1501501,14
159Y1A0180,1501501,30
159Y1A0181,1501501,28
159Y1A0183,1501501,28
159Y1A0185,1501501,22
159Y1A0186,1501501,28
159Y1A0187,1501501,15
159Y1A0188,1501501,29
159Y1A0189,1501501,29
159Y1A0190,1501501,28
159Y1A0191,1501501,28
159Y1A0192,1501501,17
159Y1A0193,1501501,30
159Y1A0194,1501501,26
159Y1A0195,1501501,11
159Y1A0196,1501501,29
159Y1A0197,1501501,6
159Y1A0198,1501501,19
159Y1A0199,1501501,27
159Y1A01A0,1501501,28
159Y1A01A1,1501501,29
159Y1A01A2,1501501,25
159Y1A01A3,1501501,30
159Y1A01A4,1501501,18
159Y1A01A5,1501501,30
159Y1A01A6,1501501,28
159Y1A01A7,1501501,30
159Y1A01A8,1501501,27
159Y1A01A9,1501501,22
159Y1A01B0,1501501,26
159Y1A01B1,1501501,16
159Y1A01B2,1501501,28
159Y1A01B3,1501501,23
159Y1A01B4,1501501,30
159Y1A01B5,1501501,14
159Y1A01B6,1501501,30
159Y1A01B7,1501501,20
159Y1A01B8,1501501,26
159Y1A01B9,1501501,18
159Y1A01C0,1501501,27
159Y1A01C1,1501501,30
159Y1A01C2,1501501,30
159Y1A01C3,1501501,30
159Y1A01C4,1501501,30
159Y1A01C5,1501501,15
159Y1A01C6,1501501,21
159Y1A01C7,1501501,30
159Y1A01C8,1501501,23
159Y1A01C9,1501501,19
159Y1A01D0,1501501,17
159Y1A01D1,1501501,24
159Y1A01D2,1501501,28
159Y1A01D3,1501501,27
159Y1A01D5,1501501,19
159Y1A01D6,1501501,28
159Y1A01D7,1501501,16
159Y1A01D8,1501501,28
159Y1A01D9,1501501,23
159Y1A01E2,1501501,16
159Y1A01E3,1501501,16
159Y1A01E4,1501501,30
159Y1A01E5,1501501,16
159Y1A01E6,1501501,17
159Y1A01E7,1501501,19
159Y1A01E8,1501501,27
159Y1A01E9,1501501,25
159Y1A01F0,1501501,25
159Y1A01F1,1501501,24
159Y1A01F2,1501501,19
159Y1A01F3,1501501,29
159Y1A01F4,1501501,21
159Y1A01F5,1501501,30
159Y1A01F6,1501501,20
159Y1A01F7,1501501,27
159Y1A01F8,1501501,25
159Y1A01F9,1501501,29
159Y1A01G0,1501501,27
159Y1A01G1,1501501,27
159Y1A01G2,1501501,22
169Y5A0101,1501501,27
169Y5A0102,1501501,30
169Y5A0103,1501501,19
169Y5A0104,1501501,29
169Y5A0105,1501501,26
169Y5A0106,1501501,25
169Y5A0107,1501501,22
169Y5A0108,1501501,23
169Y5A0109,1501501,29
169Y5A0110,1501501,30
169Y5A0111,1501501,17
169Y5A0113,1501501,27
169Y5A0114,1501501,29
169Y5A0115,1501501,30
169Y5A0116,1501501,30
169Y5A0117,1501501,30
