HTNO,SUBCODE,EM
149Y1A0128,1502401,10
149Y1A0169,1502401,15
149Y1A0182,1502401,25
149Y1A01C8,1502401,7
149Y1A01D0,1502401,30
149Y1A01D1,1502401,25
159Y1A0101,1502401,14
159Y1A0102,1502401,30
159Y1A0103,1502401,52
159Y1A0104,1502401,25
159Y1A0105,1502401,0
159Y1A0106,1502401,25
159Y1A0108,1502401,33
159Y1A0109,1502401,25
159Y1A0110,1502401,31
159Y1A0111,1502401,27
159Y1A0112,1502401,30
159Y1A0113,1502401,32
159Y1A0114,1502401,38
159Y1A0115,1502401,39
159Y1A0116,1502401,46
159Y1A0117,1502401,38
159Y1A0118,1502401,26
159Y1A0119,1502401,25
159Y1A0121,1502401,41
159Y1A0122,1502401,25
159Y1A0123,1502401,33
159Y1A0124,1502401,12
159Y1A0125,1502401,38
159Y1A0126,1502401,43
159Y1A0129,1502401,27
159Y1A0130,1502401,26
159Y1A0131,1502401,25
159Y1A0132,1502401,25
159Y1A0133,1502401,27
159Y1A0134,1502401,8
159Y1A0135,1502401,30
159Y1A0136,1502401,68
159Y1A0137,1502401,25
159Y1A0138,1502401,25
159Y1A0139,1502401,27
159Y1A0140,1502401,16
159Y1A0141,1502401,41
159Y1A0142,1502401,37
159Y1A0143,1502401,31
159Y1A0144,1502401,28
159Y1A0145,1502401,14
159Y1A0146,1502401,31
159Y1A0147,1502401,10
159Y1A0148,1502401,26
159Y1A0149,1502401,1
159Y1A0150,1502401,38
159Y1A0151,1502401,41
159Y1A0152,1502401,47
159Y1A0153,1502401,25
159Y1A0154,1502401,51
159Y1A0155,1502401,44
159Y1A0156,1502401,45
159Y1A0157,1502401,47
159Y1A0159,1502401,31
159Y1A0160,1502401,25
159Y1A0161,1502401,14
159Y1A0162,1502401,5
159Y1A0163,1502401,25
159Y1A0164,1502401,30
159Y1A0165,1502401,16
159Y1A0166,1502401,33
159Y1A0167,1502401,44
159Y1A0168,1502401,36
159Y1A0169,1502401,27
159Y1A0170,1502401,60
159Y1A0171,1502401,25
159Y1A0172,1502401,43
159Y1A0173,1502401,10
159Y1A0174,1502401,35
159Y1A0175,1502401,38
159Y1A0176,1502401,40
159Y1A0177,1502401,25
159Y1A0178,1502401,15
159Y1A0179,1502401,25
159Y1A0180,1502401,27
159Y1A0181,1502401,34
159Y1A0183,1502401,28
159Y1A0185,1502401,1
159Y1A0186,1502401,47
159Y1A0187,1502401,16
159Y1A0188,1502401,32
159Y1A0189,1502401,44
159Y1A0190,1502401,25
159Y1A0191,1502401,37
159Y1A0192,1502401,2
159Y1A0193,1502401,51
159Y1A0194,1502401,31
159Y1A0195,1502401,8
159Y1A0196,1502401,52
159Y1A0197,1502401,1
159Y1A0198,1502401,25
159Y1A0199,1502401,34
159Y1A01A0,1502401,53
159Y1A01A1,1502401,43
159Y1A01A2,1502401,44
159Y1A01A3,1502401,50
159Y1A01A4,1502401,25
159Y1A01A5,1502401,57
159Y1A01A6,1502401,44
159Y1A01A7,1502401,48
159Y1A01A8,1502401,25
159Y1A01A9,1502401,0
159Y1A01B0,1502401,37
159Y1A01B1,1502401,7
159Y1A01B2,1502401,34
159Y1A01B3,1502401,30
159Y1A01B4,1502401,37
159Y1A01B5,1502401,35
159Y1A01B6,1502401,56
159Y1A01B7,1502401,33
159Y1A01B8,1502401,28
159Y1A01B9,1502401,4
159Y1A01C0,1502401,30
159Y1A01C1,1502401,49
159Y1A01C2,1502401,46
159Y1A01C3,1502401,40
159Y1A01C4,1502401,39
159Y1A01C5,1502401,6
159Y1A01C6,1502401,46
159Y1A01C7,1502401,58
159Y1A01C8,1502401,30
159Y1A01C9,1502401,28
159Y1A01D0,1502401,29
159Y1A01D1,1502401,33
159Y1A01D2,1502401,31
159Y1A01D3,1502401,45
159Y1A01D5,1502401,25
159Y1A01D6,1502401,35
159Y1A01D7,1502401,30
159Y1A01D8,1502401,45
159Y1A01D9,1502401,31
159Y1A01E2,1502401,31
159Y1A01E3,1502401,16
159Y1A01E4,1502401,57
159Y1A01E5,1502401,39
159Y1A01E6,1502401,25
159Y1A01E7,1502401,14
159Y1A01E8,1502401,39
159Y1A01E9,1502401,32
159Y1A01F0,1502401,29
159Y1A01F1,1502401,25
159Y1A01F2,1502401,25
159Y1A01F3,1502401,41
159Y1A01F4,1502401,12
159Y1A01F5,1502401,35
159Y1A01F6,1502401,29
159Y1A01F7,1502401,26
159Y1A01F8,1502401,37
159Y1A01F9,1502401,35
159Y1A01G0,1502401,25
159Y1A01G1,1502401,40
159Y1A01G2,1502401,36
169Y5A0101,1502401,28
169Y5A0102,1502401,41
169Y5A0103,1502401,38
169Y5A0104,1502401,41
169Y5A0105,1502401,29
169Y5A0106,1502401,28
169Y5A0107,1502401,38
169Y5A0108,1502401,27
169Y5A0109,1502401,35
169Y5A0110,1502401,36
169Y5A0111,1502401,26
169Y5A0113,1502401,32
169Y5A0114,1502401,36
169Y5A0115,1502401,40
169Y5A0116,1502401,50
169Y5A0117,1502401,41
169Y5A0118,1502401,34
169Y5A0119,1502401,32
169Y5A0120,1502401,35
169Y5A0121,1502401,30
169Y5A0122,1502401,33
169Y5A0123,1502401,10
169Y5A0124,1502401,46
169Y5A0125,1502401,41
169Y5A0126,1502401,31
169Y5A0127,1502401,46
169Y5A0128,1502401,25
169Y5A0129,1502401,25
169Y5A0130,1502401,28
169Y5A0131,1502401,27
169Y5A0132,1502401,28
169Y5A0133,1502401,30
169Y5A0134,1502401,36
169Y5A0135,1502401,38
169Y5A0136,1502401,37
