HTNO,SUBCODE,IM
149Y1A0103,1501701,18
149Y1A0169,1501701,20
149Y1A0182,1501701,15
149Y1A01C8,1501701,21
149Y1A01D0,1501701,19
149Y1A01D1,1501701,21
159Y1A0101,1501701,30
159Y1A0102,1501701,29
159Y1A0103,1501701,26
159Y1A0104,1501701,19
159Y1A0105,1501701,26
159Y1A0106,1501701,30
159Y1A0108,1501701,24
159Y1A0109,1501701,28
159Y1A0110,1501701,30
159Y1A0111,1501701,28
159Y1A0112,1501701,30
159Y1A0113,1501701,30
159Y1A0114,1501701,29
159Y1A0115,1501701,28
159Y1A0116,1501701,24
159Y1A0117,1501701,30
159Y1A0118,1501701,26
159Y1A0119,1501701,20
159Y1A0121,1501701,28
159Y1A0122,1501701,26
159Y1A0123,1501701,28
159Y1A0124,1501701,28
159Y1A0125,1501701,30
159Y1A0126,1501701,30
159Y1A0129,1501701,27
159Y1A0130,1501701,26
159Y1A0131,1501701,30
159Y1A0132,1501701,30
159Y1A0133,1501701,28
159Y1A0134,1501701,23
159Y1A0135,1501701,25
159Y1A0136,1501701,30
159Y1A0137,1501701,20
159Y1A0138,1501701,20
159Y1A0139,1501701,22
159Y1A0140,1501701,19
159Y1A0141,1501701,29
159Y1A0142,1501701,29
159Y1A0143,1501701,30
159Y1A0144,1501701,28
159Y1A0145,1501701,28
159Y1A0146,1501701,29
159Y1A0147,1501701,22
159Y1A0148,1501701,29
159Y1A0149,1501701,15
159Y1A0150,1501701,29
159Y1A0151,1501701,28
159Y1A0152,1501701,30
159Y1A0153,1501701,24
159Y1A0154,1501701,30
159Y1A0155,1501701,28
159Y1A0156,1501701,28
159Y1A0157,1501701,28
159Y1A0159,1501701,30
159Y1A0160,1501701,28
159Y1A0161,1501701,24
159Y1A0162,1501701,26
159Y1A0163,1501701,24
159Y1A0164,1501701,30
159Y1A0165,1501701,18
159Y1A0166,1501701,30
159Y1A0167,1501701,30
159Y1A0168,1501701,30
159Y1A0169,1501701,29
159Y1A0170,1501701,30
159Y1A0171,1501701,14
159Y1A0172,1501701,30
159Y1A0174,1501701,27
159Y1A0175,1501701,25
159Y1A0176,1501701,20
159Y1A0177,1501701,27
159Y1A0178,1501701,20
159Y1A0179,1501701,24
159Y1A0180,1501701,30
159Y1A0181,1501701,30
159Y1A0183,1501701,30
159Y1A0185,1501701,7
159Y1A0186,1501701,30
159Y1A0187,1501701,27
159Y1A0188,1501701,30
159Y1A0189,1501701,30
159Y1A0190,1501701,28
159Y1A0191,1501701,30
159Y1A0192,1501701,22
159Y1A0193,1501701,30
159Y1A0194,1501701,30
159Y1A0195,1501701,20
159Y1A0196,1501701,30
159Y1A0197,1501701,17
159Y1A0198,1501701,30
