HTNO,SUBCODE,EM
149Y1A0128,1521302,12
149Y1A0134,1521302,42
149Y1A0169,1521302,1
149Y1A0182,1521302,2
149Y1A01C8,1521302,0
149Y1A01D0,1521302,37
149Y1A01D1,1521302,44
149Y1A01E5,1521302,14
159Y1A0101,1521302,66
159Y1A0102,1521302,57
159Y1A0103,1521302,39
159Y1A0104,1521302,46
159Y1A0105,1521302,25
159Y1A0106,1521302,48
159Y1A0108,1521302,63
159Y1A0109,1521302,4
159Y1A0110,1521302,59
159Y1A0111,1521302,42
159Y1A0112,1521302,51
159Y1A0113,1521302,38
159Y1A0114,1521302,44
159Y1A0115,1521302,61
159Y1A0116,1521302,64
159Y1A0117,1521302,64
159Y1A0118,1521302,48
159Y1A0119,1521302,40
159Y1A0121,1521302,49
159Y1A0122,1521302,43
159Y1A0123,1521302,54
159Y1A0124,1521302,40
159Y1A0125,1521302,53
159Y1A0126,1521302,68
159Y1A0129,1521302,27
159Y1A0130,1521302,47
159Y1A0131,1521302,68
159Y1A0132,1521302,45
159Y1A0133,1521302,70
159Y1A0134,1521302,11
159Y1A0135,1521302,55
159Y1A0136,1521302,70
159Y1A0137,1521302,48
159Y1A0138,1521302,37
159Y1A0139,1521302,34
159Y1A0140,1521302,40
159Y1A0141,1521302,64
159Y1A0142,1521302,40
159Y1A0143,1521302,43
159Y1A0144,1521302,65
159Y1A0145,1521302,36
159Y1A0146,1521302,50
159Y1A0147,1521302,29
159Y1A0148,1521302,67
159Y1A0149,1521302,-1
159Y1A0150,1521302,65
159Y1A0151,1521302,59
159Y1A0152,1521302,57
159Y1A0153,1521302,33
159Y1A0154,1521302,61
159Y1A0155,1521302,64
159Y1A0156,1521302,60
159Y1A0157,1521302,66
159Y1A0159,1521302,68
159Y1A0160,1521302,56
159Y1A0161,1521302,33
159Y1A0162,1521302,10
159Y1A0163,1521302,42
159Y1A0164,1521302,60
159Y1A0165,1521302,37
159Y1A0166,1521302,65
159Y1A0167,1521302,52
159Y1A0168,1521302,64
159Y1A0169,1521302,36
159Y1A0170,1521302,70
159Y1A0171,1521302,18
159Y1A0172,1521302,48
159Y1A0173,1521302,25
159Y1A0174,1521302,46
159Y1A0175,1521302,37
159Y1A0176,1521302,47
159Y1A0177,1521302,41
159Y1A0178,1521302,16
159Y1A0179,1521302,-1
159Y1A0180,1521302,60
159Y1A0181,1521302,62
159Y1A0183,1521302,63
159Y1A0185,1521302,19
159Y1A0186,1521302,55
159Y1A0187,1521302,45
159Y1A0188,1521302,66
159Y1A0189,1521302,70
159Y1A0190,1521302,51
159Y1A0191,1521302,59
159Y1A0192,1521302,6
159Y1A0193,1521302,62
159Y1A0194,1521302,56
159Y1A0195,1521302,38
159Y1A0196,1521302,70
159Y1A0197,1521302,39
159Y1A0198,1521302,30
159Y1A0199,1521302,60
159Y1A01A0,1521302,68
159Y1A01A1,1521302,62
159Y1A01A2,1521302,59
159Y1A01A3,1521302,68
159Y1A01A4,1521302,25
159Y1A01A5,1521302,70
159Y1A01A6,1521302,43
159Y1A01A7,1521302,68
159Y1A01A8,1521302,26
159Y1A01A9,1521302,36
159Y1A01B0,1521302,49
159Y1A01B1,1521302,49
159Y1A01B2,1521302,59
159Y1A01B3,1521302,40
159Y1A01B4,1521302,67
159Y1A01B5,1521302,26
159Y1A01B6,1521302,69
159Y1A01B7,1521302,51
159Y1A01B8,1521302,61
159Y1A01B9,1521302,17
159Y1A01C0,1521302,55
159Y1A01C1,1521302,57
159Y1A01C2,1521302,62
159Y1A01C3,1521302,67
159Y1A01C4,1521302,48
159Y1A01C5,1521302,28
159Y1A01C6,1521302,55
159Y1A01C7,1521302,70
159Y1A01C8,1521302,26
159Y1A01C9,1521302,-1
159Y1A01D0,1521302,25
159Y1A01D1,1521302,57
159Y1A01D2,1521302,51
159Y1A01D3,1521302,61
159Y1A01D4,1521302,29
159Y1A01D5,1521302,34
159Y1A01D6,1521302,51
159Y1A01D7,1521302,41
159Y1A01D8,1521302,70
159Y1A01D9,1521302,47
159Y1A01E1,1521302,57
159Y1A01E2,1521302,40
159Y1A01E3,1521302,13
159Y1A01E4,1521302,67
159Y1A01E5,1521302,35
159Y1A01E6,1521302,32
159Y1A01E7,1521302,6
159Y1A01E8,1521302,56
159Y1A01E9,1521302,46
159Y1A01F0,1521302,59
159Y1A01F1,1521302,38
159Y1A01F2,1521302,45
